Consent,GBeliefs_1,GBeliefs_2,GBeliefs_3,Global_1,Global_2,Global_3,Global_4,Global_5,Gutt1,Gutt2,Gutt3,Gutt4,Gutt5,Attain_1,Attain_10,Attain_11,Attain_12,Attain_13,Attain_2,Attain_3,Attain_4,Attain_5,Attain_6,Attain_7,Attain_8,Attain_9,CostX_1,CostX_2,CostX_3,CostX_4,CostX_5,CostX_6,CostX_7,CostX_8,CostX_9,CostX_10,CostX_11,CostX_12,CostX_13,DifficultyX_1,DifficultyX_2,DifficultyX_3,DifficultyX_4,DifficultyX_5,DifficultyX_6,DifficultyX_7,DifficultyX_8,DifficultyX_9,GoalX_1,GoalX_2,GoalX_3,GoalX_4,GoalX_5,GoalX_6,GoalX_7,GoalX_8,GoalX_9,GoalX_10,GoalX_11,GoalX_12,GoalX_13,Expectancy_1,Expectancy_2,Expectancy_3,Expectancy_4,Expectancy_5,Expectancy_6,IntEnj_1,IntEnj_2,IntEnj_3,IntEnj_4,IntEnj_5,IntEnj_6,IntEnj_7,IntEnj_8,IntEnj_9,Utility_1,Utility_10,Utility_11,Utility_2,Utility_3,Utility_4,Utility_5,Utility_6,Utility_7,Utility_8,Utility_9,AcadSCX_1,AcadSCX_2,AcadSCX_3,AcadSCX_4,AcadSCX_5,AcadSCX_6,AcadSCX_7,AcadSCX_8,AcadSCX_9,AcadSCX_10,AcadSCX_11,AcadSCX_12,AcadSCX_13,AcadSCX_14,Gender,Gender_TEXT,Age,Hispanic_Latino_Spanish,Race_Origin,Race_Origin_TEXT,Language,Language_TEXT,Student,Student_TEXT,Taking_Class,Taking_Class_TEXT,STAT_Successful?,Successful_Where,No?,No?_TEXT,First_Gen?,Grade_Course,College_GPA?,College_GPA,College_GPA_Max,HS_GPA,HS_GPA_Max,Major1_1,Major1.1,Major2_1,Major2.1,Minor1_1,Minor1.1,Minor2_1,Minor2.1,RandomID
Yes: I agree to participate AND am 18 years or older,Somewhat Agree,Neither Agree Nor Disagree,Disagree,Average,Average,Large Amount,Fairly Confident,Not At All Likely,Employers require that I have excellent knowledge of statistics.,Almost everyone in my desired career field uses statistics.,I already do use statistics to make informed choices.,I usually understand why studying statistics is useful.,I will often use statistics in the future.,7,7,7,7,7,7,7,1,7,7,7,7,5,7,1,7,5,1,6,1,7,5,5,4,1,7,7,7,7,7,6,7,7,7,7,7,5,4,6,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,1,1,1,6,1,1,7,5,1,7,5,7,7,6,7,6,7,7,6,7,6,6,7,7,7,7,6,7,6,7,2,7,6,1,Woman,,20,"Yes, I am of Hispanic, Latino, or Spanish origin.",Some other race or origin: Provide race(s) or origin(s) below.,mixed,English,,Junior (Third Year),,It is required by my major.,,No,,I have never taken a statistics course.,,Yes,B,Yes,3.48,4,,,Environmental Science and Natural Resource Studies,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,4f6a4fa509
Yes: I agree to participate AND am 18 years or older,Somewhat Disagree,Agree,Somewhat Disagree,Below Average,Average,Grater Than Average,Fairly Confident,Likely,Employers expect that I know statistics.,Most people in my desired career field use statistics.,I plan to use statistics to make informed choices.,I usually understand why studying statistics is useful.,I will occasionally use statistics in the future.,6,7,3,5,5,6,3,3,6,6,5,3,5,2,3,5,6,3,6,2,6,5,3,5,5,5,6,5,6,5,5,6,5,5,6,5,3,5,5,6,6,6,6,5,6,7,5,3,5,6,5,6,6,6,3,5,4,6,3,3,6,6,3,6,6,5,6,6,6,5,5,6,5,6,2,5,3,3,3,4,5,3,5,6,3,5,3,5,Man,,21,"Yes, I am of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.,Hispanic, Latino or Spanish origin: Mexican, Mexican American, Puerto Rican, Cuban, Argentinean, Dominican, Salvadoran, Spaniard, etc.",,English,,Senior (Fourth Year),,It is required by my major.,,Yes,1 other college-level statistics course.,,,No,C,Yes,3.43,4,,,Environmental Science and Natural Resource Studies,,,,,,,,ace0e1bf14
Yes: I agree to participate AND am 18 years or older,Disagree,Somewhat Agree,Somewhat Disagree,Below Average,Below Average,Less Than Average,Some Confidence,Fairly Unlikely,"Employers would like it if I knew statistics, but it is not required.",Most people in my desired career field use statistics.,I want to use statistics to help me make informed choices.,I sometimes see why studying statistics can be useful.,I will occasionally use statistics in the future.,7,6,5,3,5,3,5,5,3,5,5,5,5,1,5,3,3,3,3,3,5,5,1,2,2,3,3,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,3,3,2,2,3,3,5,5,5,5,3,5,5,5,5,5,6,5,5,5,3,5,2,2,1,6,5,2,2,5,3,2,2,1,Man,,21,"No, I am not of Hispanic, Latino, or Spanish origin.",Prefer not to answer,,Prefer not to answer,,Junior (Third Year),,It is required by my major.,,No,,I have never taken a statistics course.,,No,C,Yes,3.14,4,,,Other (Please Specify),Marine Science,,,"Communication, Journalism, and Related Programs",,,,9e5e44906e
Yes: I agree to participate AND am 18 years or older,Somewhat Disagree,Neither Agree Nor Disagree,Disagree,Above Average,Above Average,Average,Some Confidence,Not At All Likely,Employers expect that I know statistics.,Almost everyone in my desired career field uses statistics.,I might want to use statistics to help me make informed choices.,I usually understand why studying statistics is useful.,I will often use statistics in the future.,5,5,5,5,5,3,3,2,5,5,2,5,2,3,3,3,2,5,1,3,4,5,5,3,3,2,4,4,6,6,5,5,6,5,5,5,2,1,4,2,2,5,2,1,7,7,2,2,5,4,6,5,2,6,2,2,3,4,3,3,5,3,5,2,3,3,3,5,3,4,6,5,3,5,3,5,3,3,2,6,4,6,6,3,3,6,5,5,Man,,20,"Yes, I am of Hispanic, Latino, or Spanish origin.","American Indian or Alaskan Native: Navajo, Mayan, Tlingit, etc.",,English,,Junior (Third Year),,It is required by my major.,,Yes,High School AP Statistics,,,Yes,C,Yes,2.94,4,,,Biology,,None - I do not have a second major.,,"Foreign Languages, Literatures, and Linguistics",,None - I do not have a minor.,,92a2007ef1
Yes: I agree to participate AND am 18 years or older,Agree,Somewhat Agree,Neither Agree Nor Disagree,Poorly,Poor,Large Amount,Confident,Fairly Unlikely,"Employers would like it if I knew statistics, but it is not required.",Everyone in my desired career field uses statistics.,I plan to use statistics to make informed choices.,I usually understand why studying statistics is useful.,I will often use statistics in the future.,7,7,5,7,6,5,6,1,7,6,6,6,6,3,3,6,5,5,5,3,5,6,3,3,5,6,5,5,6,5,5,6,6,5,6,4,3,2,6,6,6,6,6,4,6,6,6,7,5,5,6,6,4,5,2,5,6,6,3,5,6,5,5,4,5,5,6,6,6,6,7,6,5,5,3,5,3,4,5,5,6,7,2,6,1,3,2,1,Woman,,25,"Yes, I am of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.,Hispanic, Latino or Spanish origin: Mexican, Mexican American, Puerto Rican, Cuban, Argentinean, Dominican, Salvadoran, Spaniard, etc.",,English,,Senior (Fourth Year),,It is required by my major.,,Yes,1 other college-level statistics course.,,,Yes,B,Yes,2.9,4,,,Biology,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,44ac613484
Yes: I agree to participate AND am 18 years or older,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Average,Below Average,Very Little,Very Little Confidence,Average,Employers care a little bit if I know statistics.,Only some people in my desired career field use statistics.,I do not see how using statistics will help me make informed choices.,I see no reason to study statistics.,I will rarely use statistics in the future.,4,5,2,2,2,2,2,3,2,2,2,5,1,3,2,2,4,2,2,2,2,2,3,2,1,2,4,6,7,6,3,2,6,6,6,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,3,5,2,4,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,1,4,2,2,3,5,5,6,5,4,4,5,4,3,4,4,4,4,4,Man,,20,"Yes, I am of Hispanic, Latino, or Spanish origin.","Hispanic, Latino or Spanish origin: Mexican, Mexican American, Puerto Rican, Cuban, Argentinean, Dominican, Salvadoran, Spaniard, etc.",,"English,Spanish",,Junior (Third Year),,It is required by my major.,,Yes,High School non-AP,,,Prefer not to answer,C,Yes,3.1,4,,,Biology,,,,,,,,423354d3f8
Yes: I agree to participate AND am 18 years or older,Somewhat Disagree,Agree,Neither Agree Nor Disagree,Average,Average,Grater Than Average,Some Confidence,Average,Employers expect that I know statistics.,Almost everyone in my desired career field uses statistics.,I plan to use statistics to make informed choices.,I am beginning to see why I should study statistics.,I will often use statistics in the future.,5,5,7,5,5,4,4,4,7,6,6,5,5,3,3,6,5,5,5,4,5,6,3,5,5,4,7,4,5,5,5,6,5,5,5,4,2,2,7,5,3,5,4,6,5,5,5,5,5,5,4,6,5,5,4,5,5,5,5,4,5,5,5,6,5,6,6,6,7,6,6,4,6,6,6,5,5,5,4,6,4,4,6,5,5,5,6,3,Prefer not to answer.,,21,I prefer not to answer.,Prefer not to answer,,English,,Junior (Third Year),,"It is required by my major.,If fulfills a general education requirement.",,No,,I have never taken a statistics course.,,Prefer not to answer,B,Yes,3.6,4,,,Other (Please Specify),Marine Science,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,87b86b7974
Yes: I agree to participate AND am 18 years or older,Disagree,Strongly Agree,Neither Agree Nor Disagree,Above Average,Above Average,Large Amount,Very Confident,Likely,"Employers would like it if I knew statistics, but it is not required.",Everyone in my desired career field uses statistics.,I already do use statistics to make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will use statistics almost daily in my future.,7,6,7,7,7,4,4,2,7,6,7,7,5,6,3,5,4,4,5,1,5,6,3,2,2,5,5,3,4,2,7,4,3,4,5,4,1,1,6,4,4,7,2,7,6,7,5,5,7,2,6,7,7,7,2,7,7,5,5,4,7,5,5,5,7,7,6,7,6,7,7,6,7,1,7,6,1,7,2,6,3,4,3,7,6,3,1,1,Man,,26,I prefer not to answer.,"White: German, Irish, Lebanese, Egyptian, etc.",,"English,French,Other language(s):",Arabic - Egyptian,Junior (Third Year),,"It is required by my major.,It is an elective for my major.",,Yes,More than 1 other college-level statistics course,,,Yes,C,Yes,2.7,4,,,Biology,,None - I do not have a second major.,,Statistics,,,,957eae3afe
Yes: I agree to participate AND am 18 years or older,Disagree,Strongly Agree,Strongly Disagree,Very Well,Good,Average,Very Little Confidence,Not At All Likely,Employers expect that I know statistics.,Most people in my desired career field use statistics.,I plan to use statistics to make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will often use statistics in the future.,6,5,3,4,3,1,5,2,3,4,2,5,3,2,1,1,3,2,3,2,5,4,2,1,3,3,2,3,3,6,2,6,3,3,3,1,1,1,4,3,1,6,3,4,5,6,3,4,5,6,7,5,5,5,1,2,1,1,2,1,2,3,1,4,4,3,5,5,6,5,7,4,5,5,2,6,5,4,1,4,6,3,4,5,3,4,4,2,Woman,,22,"No, I am not of Hispanic, Latino, or Spanish origin.",Some other race or origin: Provide race(s) or origin(s) below.,Arabic,English,,Fifth or more years in college,,It is required by my major.,,No,,"I started a statistics course in college, but did not successfully complete the course.",,No,C,Yes,3.4,3.4,,,Biology,,,,,,,,de56d059c8
Yes: I agree to participate AND am 18 years or older,Somewhat Disagree,Neither Agree Nor Disagree,Somewhat Disagree,Above Average,Above Average,Average,Little Confidence,Unlikely,Employers care a little bit if I know statistics.,Most people in my desired career field use statistics.,I might want to use statistics to help me make informed choices.,I am beginning to see why I should study statistics.,I will occasionally use statistics in the future.,5,5,3,4,3,4,3,2,5,5,3,4,2,3,3,3,3,3,3,3,3,3,3,3,2,3,5,5,5,5,5,5,5,5,5,3,2,2,4,3,2,3,3,2,5,3,2,3,4,4,5,5,4,4,1,2,3,2,2,1,3,2,1,4,2,5,4,4,4,4,5,3,3,4,6,4,6,5,2,3,4,5,4,5,4,4,4,4,Woman,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Junior (Third Year),,It is required by my major.,,No,,I have never taken a statistics course.,,Yes,C,Yes,3.8,4,,,Biology,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,276cfd8946
Yes: I agree to participate AND am 18 years or older,Strongly Disagree,Somewhat Agree,Strongly Disagree,Above Average,Above Average,Large Amount,Very Confident,Fairly Likely,Employers require that I have excellent knowledge of statistics.,Almost everyone in my desired career field uses statistics.,I already do use statistics to make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will often use statistics in the future.,6,3,7,7,6,5,6,7,7,7,7,5,5,7,7,7,7,6,7,7,7,7,5,5,7,7,5,3,2,1,2,3,3,5,3,1,1,5,7,5,5,7,5,4,5,1,4,6,7,7,7,7,6,7,5,6,6,7,6,7,7,7,7,6,7,7,7,7,5,7,7,7,7,7,5,5,5,5,3,7,7,3,7,7,7,5,7,7,Woman,,23,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,"English,French",,Senior (Fourth Year),,It is required by my major.,,Yes,More than 1 other college-level statistics course,,,No,A or B (not sure which one),Yes,2.71,4,,,Other (Please Specify),marine science,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,b9f816606b
Yes: I agree to participate AND am 18 years or older,Neither Agree Nor Disagree,Strongly Agree,Strongly Disagree,Very Well,Very Good,Great Deal,Very Confident,Likely,Employers expect that I know statistics.,Everyone in my desired career field uses statistics.,I plan to use statistics to make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will often use statistics in the future.,7,4,5,7,6,4,4,4,6,6,6,5,5,5,4,6,6,6,7,4,5,5,4,4,4,5,7,2,4,4,6,7,4,5,4,2,2,2,4,5,4,3,5,5,6,4,5,5,5,3,6,6,6,6,3,6,4,5,4,4,5,6,4,5,7,6,4,6,6,6,7,5,6,7,5,5,6,4,6,7,5,6,7,7,6,7,7,6,Woman,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Junior (Third Year),,It is required by my major.,,Yes,1 other college-level statistics course.,,,Yes,A or B (not sure which one),Yes,3.8,4,,,Environmental Science and Natural Resource Studies,,,,,,,,1fde58cfd0
Yes: I agree to participate AND am 18 years or older,Agree,Somewhat Agree,Disagree,Average,Average,Average,Some Confidence,Unlikely,"Employers would like it if I knew statistics, but it is not required.",Most people in my desired career field use statistics.,I might want to use statistics to help me make informed choices.,I sometimes see why studying statistics can be useful.,I will rarely use statistics in the future.,5,7,2,4,5,2,5,3,5,4,3,4,3,4,2,3,5,1,4,2,3,3,4,4,4,4,6,4,6,6,4,6,5,6,6,3,2,1,5,4,4,4,4,4,6,6,5,7,2,5,6,6,4,6,3,4,3,2,2,3,5,3,2,4,4,6,4,6,4,4,4,5,4,4,4,4,7,4,2,6,4,3,4,6,6,6,5,3,Man,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","Asian: Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, Hmong, Laotian, Thai, Pakistani, Cambodian, etc.",,"English,Other language(s):",hindi,Junior (Third Year),,It is required by my major.,,Yes,High School non-AP,,,Yes,D,Yes,,,,,Other (Please Specify),Marine Science,,,None - I do not have a minor.,,None - I do not have a minor.,,5862207772
Yes: I agree to participate AND am 18 years or older,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Above Average,Above Average,Grater Than Average,Confident,Likely,Employers expect that I know statistics.,Almost everyone in my desired career field uses statistics.,I want to use statistics to help me make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will occasionally use statistics in the future.,6,5,6,6,6,5,6,3,5,6,5,6,6,4,5,6,6,6,5,5,6,6,5,5,6,6,5,5,5,5,4,5,5,5,6,5,3,3,6,3,3,6,6,3,6,6,5,6,5,5,5,6,6,6,2,6,5,6,6,5,5,6,5,6,5,5,6,6,6,5,6,5,6,5,5,5,3,5,6,3,3,3,2,6,3,5,3,1,Man,,19,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Sophomore (Second Year),,It is required by my major.,,No,,I have never taken a statistics course.,,No,B,Yes,2.87,4,,,Environmental Science and Natural Resource Studies,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,d9c195e291
Yes: I agree to participate AND am 18 years or older,Somewhat Agree,Strongly Agree,Neither Agree Nor Disagree,Well,Good,Grater Than Average,Confident,Fairly Unlikely,"Employers would like it if I knew statistics, but it is not required.",Almost everyone in my desired career field uses statistics.,I plan to use statistics to make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will often use statistics in the future.,5,6,6,6,6,5,6,2,6,6,6,3,5,3,4,5,5,5,6,4,5,6,2,4,5,5,6,3,5,5,3,6,3,5,6,3,2,1,5,3,2,7,3,5,5,5,5,6,5,5,6,5,4,6,4,4,3,5,3,6,5,5,4,5,5,5,6,6,5,4,7,4,4,3,3,6,1,5,1,5,3,1,5,7,3,3,3,1,Man,,36,"Yes, I am of Hispanic, Latino, or Spanish origin.","Hispanic, Latino or Spanish origin: Mexican, Mexican American, Puerto Rican, Cuban, Argentinean, Dominican, Salvadoran, Spaniard, etc.",,"English,Spanish",,Junior (Third Year),,It is required by my major.,,No,,I have never taken a statistics course.,,Yes,C,Yes,2.65,4,,,Biology,,Chemistry,,Biology,,Chemistry,,16df56fdab
Yes: I agree to participate AND am 18 years or older,Neither Agree Nor Disagree,Somewhat Agree,Disagree,Well,Average,Average,Some Confidence,Fairly Unlikely,Employers expect that I know statistics.,Almost everyone in my desired career field uses statistics.,I might want to use statistics to help me make informed choices.,I usually understand why studying statistics is useful.,I will often use statistics in the future.,7,6,3,6,6,5,3,2,5,6,4,3,3,6,3,4,6,3,3,4,5,5,2,4,4,4,6,6,7,6,6,6,6,6,6,3,2,2,5,6,2,3,4,4,4,5,5,3,5,6,6,6,3,6,2,2,3,5,1,3,4,4,2,5,5,5,6,6,5,4,6,4,4,3,5,5,6,5,2,6,6,6,5,5,3,5,2,2,Woman,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.,Asian: Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, Hmong, Laotian, Thai, Pakistani, Cambodian, etc.",,English,,Junior (Third Year),,It is required by my major.,,No,,I have never taken a statistics course.,,No,B,Yes,3.63,4,,,Other (Please Specify),Marine Science,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,6c595da2ea
Yes: I agree to participate AND am 18 years or older,Neither Agree Nor Disagree,Somewhat Agree,Neither Agree Nor Disagree,Average,Average,Average,Little Confidence,Average,"Employers would like it if I knew statistics, but it is not required.",Only some people in my desired career field use statistics.,I might want to use statistics to help me make informed choices.,I sometimes see why studying statistics can be useful.,I will rarely use statistics in the future.,6,6,4,5,5,5,5,2,5,5,4,5,4,3,3,5,4,3,4,2,4,4,3,3,4,5,5,6,6,5,2,4,5,6,6,4,4,4,3,4,4,4,5,5,4,5,5,5,4,4,4,4,4,4,2,4,3,4,4,3,4,5,4,4,4,4,4,4,5,3,4,4,4,4,4,4,6,6,6,6,6,5,4,6,2,5,4,4,Woman,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","Black or African-American: African American, Haitian, Nigerian, etc.",,English,,Junior (Third Year),,It is required by my major.,,No,,"I started a statistics course in college, but did not successfully complete the course.",,No,B,Yes,3.6,4,,,Biology,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,5834a0bc8e
Yes: I agree to participate AND am 18 years or older,Somewhat Agree,Neither Agree Nor Disagree,Disagree,Average,Average,Very Little,Some Confidence,Fairly Unlikely,Employers care a little bit if I know statistics.,Only some people in my desired career field use statistics.,I might want to use statistics to help me make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will rarely use statistics in the future.,6,6,5,2,4,4,4,2,4,5,4,5,3,4,4,4,5,1,4,2,4,4,4,4,2,2,6,4,7,6,2,6,7,6,7,3,2,2,6,4,4,2,4,4,7,5,6,6,5,4,5,5,3,4,2,4,4,4,2,2,4,3,4,2,4,5,3,3,3,2,5,3,4,4,3,5,6,4,4,4,6,4,6,6,4,6,6,3,Woman,,24,"Yes, I am of Hispanic, Latino, or Spanish origin.","Hispanic, Latino or Spanish origin: Mexican, Mexican American, Puerto Rican, Cuban, Argentinean, Dominican, Salvadoran, Spaniard, etc.",,"English,Spanish",,Fifth or more years in college,,"It is required by my major.,If fulfills a general education requirement.",,No,,Other:,I took a course but failed thecourse,Yes,C,Yes,2.87,4,,,Biology,,,,,,,,2ccbbc2320
Yes: I agree to participate AND am 18 years or older,Strongly Disagree,Disagree,Strongly Disagree,Very Well,Good,Great Deal,Very Confident,Average,Employers require that I have excellent knowledge of statistics.,Everyone in my desired career field uses statistics.,I already do use statistics to make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will use statistics almost daily in my future.,7,7,6,6,5,7,1,5,7,7,7,3,6,2,4,7,7,6,7,6,6,6,2,7,7,6,6,2,6,3,6,7,5,6,6,2,1,2,7,2,2,1,7,2,4,4,7,7,6,6,6,6,6,5,5,5,4,6,6,6,5,6,7,6,7,7,7,7,7,7,7,7,7,6,1,6,1,1,1,5,4,4,6,5,4,6,7,1,I prefer to self-identify:,Non-Binary,20,"Yes, I am of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.,Hispanic, Latino or Spanish origin: Mexican, Mexican American, Puerto Rican, Cuban, Argentinean, Dominican, Salvadoran, Spaniard, etc.",,English,,Junior (Third Year),,It is required by my major.,,No,,"I started a statistics course in college, but did not successfully complete the course.",,Yes,B,Yes,3.34,4,,,Biology,,,,Environmental Science and Natural Resource Studies,,,,0e79e56465
Yes: I agree to participate AND am 18 years or older,Strongly Disagree,Strongly Agree,Strongly Disagree,Well,Average,Average,Fairly Confident,Fairly Unlikely,"Employers would like it if I knew statistics, but it is not required.",Almost everyone in my desired career field uses statistics.,I want to use statistics to help me make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will occasionally use statistics in the future.,6,6,4,7,7,1,5,3,7,7,5,5,5,3,4,4,7,3,5,4,4,5,5,6,4,4,6,4,6,5,7,6,4,6,4,4,1,1,6,5,5,5,5,4,2,1,5,4,2,5,6,6,7,5,3,4,3,2,2,5,5,4,3,5,5,7,6,6,7,7,7,6,6,5,6,6,1,4,7,5,7,4,4,4,2,5,5,1,Woman,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Junior (Third Year),,It is required by my major.,,Yes,1 other college-level statistics course.,,,Yes,C,Yes,2.88,4,,,Environmental Science and Natural Resource Studies,,,,,,,,edd2bb06b0
Yes: I agree to participate AND am 18 years or older,Somewhat Agree,Somewhat Agree,Strongly Disagree,Well,Above Average,Grater Than Average,Little Confidence,Average,Employers expect that I know statistics.,Most people in my desired career field use statistics.,I want to use statistics to help me make informed choices.,I usually understand why studying statistics is useful.,I will occasionally use statistics in the future.,6,6,5,4,5,3,4,4,5,3,5,3,3,2,5,5,6,6,5,5,5,6,3,3,6,5,7,3,7,7,5,5,7,7,7,6,3,1,5,3,5,6,5,3,5,3,7,6,5,5,3,5,5,7,1,3,2,5,2,3,6,5,5,6,5,5,6,4,6,5,7,5,6,6,5,3,6,2,2,6,2,1,5,5,1,2,3,3,Man,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.,Asian: Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, Hmong, Laotian, Thai, Pakistani, Cambodian, etc.",,English,,Junior (Third Year),,It is required by my major.,,No,,I have never taken a statistics course.,,No,B,Yes,3.4249999999999998,4,,,Biology,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,8f6a6d6d8c
Yes: I agree to participate AND am 18 years or older,Somewhat Agree,Strongly Agree,Disagree,Well,Very Good,Average,Very Confident,Not At All Likely,Employers expect that I know statistics.,Everyone in my desired career field uses statistics.,I already do use statistics to make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will often use statistics in the future.,7,7,3,5,6,1,1,1,5,6,4,6,1,2,1,1,1,2,2,1,2,5,1,1,1,7,3,3,7,7,3,6,3,7,7,1,2,1,6,1,1,5,5,4,2,7,1,2,6,7,7,7,6,7,1,2,1,2,1,1,1,1,1,6,5,7,6,5,6,5,6,5,5,5,6,7,2,5,1,5,7,6,6,6,7,4,6,2,Woman,,22,"No, I am not of Hispanic, Latino, or Spanish origin.",Some other race or origin: Provide race(s) or origin(s) below.,"Jordanian, Armenian (these shouldnâ€™t be under the category of White, neither should Egyptian)",English,,Fifth or more years in college,,It is required by my major.,,No,,"I started a statistics course in college, but did not successfully complete the course.",,No,C,Yes,3.14,4,,,Biology,,,,,,,,ac85e50da1
Yes: I agree to participate AND am 18 years or older,Somewhat Agree,Strongly Agree,Neither Agree Nor Disagree,Average,Average,Grater Than Average,Confident,Fairly Unlikely,"Employers would like it if I knew statistics, but it is not required.",Only some people in my desired career field use statistics.,I already do use statistics to make informed choices.,I usually understand why studying statistics is useful.,I will often use statistics in the future.,5,5,6,7,6,7,7,3,6,7,7,5,6,3,3,5,6,4,7,3,6,6,3,4,5,7,4,5,5,4,3,5,4,3,5,6,4,4,4,5,6,5,7,6,4,4,6,5,5,6,6,5,5,6,3,6,4,6,5,4,6,6,5,5,7,4,5,5,6,6,5,7,7,7,3,4,5,5,5,5,5,4,5,5,2,4,5,2,Man,,28,"Yes, I am of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.,Hispanic, Latino or Spanish origin: Mexican, Mexican American, Puerto Rican, Cuban, Argentinean, Dominican, Salvadoran, Spaniard, etc.",,"English,Spanish",,Junior (Third Year),,It is required by my major.,,No,,I have never taken a statistics course.,,No,B,Yes,3.4329999999999998,4,,,Biology,,Chemistry,,None - I do not have a minor.,,None - I do not have a minor.,,623ee62a3f
Yes: I agree to participate AND am 18 years or older,Disagree,Strongly Agree,Neither Agree Nor Disagree,Well,Above Average,Great Deal,Confident,Very Likely,Employers require that I have excellent knowledge of statistics.,Everyone in my desired career field uses statistics.,I already do use statistics to make informed choices.,I usually understand why studying statistics is useful.,I will often use statistics in the future.,7,7,5,7,7,5,7,1,7,7,7,5,6,3,5,5,5,2,5,3,5,6,3,5,3,5,5,5,7,5,6,5,5,3,5,7,6,2,6,7,6,6,7,7,6,7,7,7,5,7,5,5,7,7,1,7,3,5,4,2,7,6,1,7,7,7,7,7,7,6,7,7,7,7,2,5,1,2,1,7,3,1,3,3,1,3,3,1,I prefer to self-identify:,non binary,21,"Yes, I am of Hispanic, Latino, or Spanish origin.","Hispanic, Latino or Spanish origin: Mexican, Mexican American, Puerto Rican, Cuban, Argentinean, Dominican, Salvadoran, Spaniard, etc.,Asian: Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, Hmong, Laotian, Thai, Pakistani, Cambodian, etc.",,English,,Senior (Fourth Year),,It is required by my major.,,No,,"I started a statistics course in college, but did not successfully complete the course.",,No,C,Yes,2,4,,,Environmental Science and Natural Resource Studies,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,ce90b82512
